Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
93.13387298583984,93.23795574453258,90.7883395787684,91.19499365016907,158130000
102.8838882446289,103.03396237192649,97.62156512089064,99.61611941491957,374336800
105.4763412475586,108.0905539794476,104.46454472688619,104.76227011908288,308151200
106.18071746826172,107.26997389606046,104.94380243901392,105.6651349105181,173071600
106.5655746459961,106.88509160009556,105.43758834706337,105.9023409518437,121776800
110.28357696533203,110.77737527223312,106.30900549573542,106.89720218347466,202428800
107.77619171142578,110.26174899503663,106.98081367668276,109.80586023116359,198045600
109.34271240234375,110.35876045671141,106.69710821737102,109.21903838608283,212403600
106.09088897705078,109.10508091522647,105.83141919822033,108.60797228128783,187902400
109.61670684814453,109.8737492325435,106.9856522603481,107.1796439994117,165598000
111.5566635131836,112.55816241863091,110.5066629686095,110.9940770606822,210082000
111.45726013183594,111.54698151987802,109.65068105796512,111.38208775805406,165565200
111.166259765625,112.60182410704658,110.54062998121614,112.57757328432733,119561600
112.09257507324219,112.51693852673742,110.58426581680665,110.91890789561272,105633600
112.23320770263672,113.64452094897047,112.13863913268811,112.49995190044544,145538000
114.72362518310547,114.8375973733061,112.2574641314498,112.27444044495672,126907200
120.6356201171875,121.11817961837231,115.6693525872738,115.6814742972318,338054800
122.07845306396484,124.91805616382935,120.21610549023623,124.83317459173283,345937600
121.07696533203125,121.42130925505194,119.35768781992573,120.95329871627834,211495600
122.72347259521484,123.17936132920332,121.3267083719839,122.39125785191554,163022400
121.25640106201172,123.65708422717836,120.11425182681509,123.32486945527224,155552400
121.05997467041016,122.64587607239329,120.83687750115561,122.22878715620412,187630000
125.16539001464844,127.06654483126823,122.21667670793738,123.74923681098468,225702700
130.1510772705078,130.75247109042868,126.61067882372832,128.77371625173845,151948100
127.45452880859375,133.83695705739137,123.18665076532004,133.45866793446768,200119000
117.25037384033203,124.97136068372583,116.8817866378675,123.09931925515065,257599600
117.3280258178711,119.98575186395645,107.56039029271544,116.46474975837279,332607200
109.43241119384766,115.4171459794859,109.29661549435876,110.5284785969539,231366600
113.79729461669922,115.56264615107492,111.79915150644727,113.73909857280785,176940500
